TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2020,19.3,24.3,19.3,98,60,0,4,310,1,C 
02-01-2020,19,22,20.1,96,73.7,0,0,0,0,C 
03-01-2020,19.2,23.6,21.1,93,6.8,0,2,260,0,C 
04-01-2020,19.5,22.3,21,95,0.8,0.2,3,350,0,C 
05-01-2020,19.7,22.8,20.8,94,5.8,0,3,340,0,C 
06-01-2020,19.8,22,20.4,98,5.8,0,3,150,0,C 
07-01-2020,19.6,23,20.7,97,20.4,0,0,0,0,C 
08-01-2020,19.8,23,20.4,96,6.5,0,2,290,0,C 
09-01-2020,20,22.8,20.1,98,25.3,0,6,60,1,C 
10-01-2020,19.3,23.5,20.3,92,44,0,4,330,1,C 
11-01-2020,18.4,23.8,20.7,87,1.8,0,3,320,1,C 
12-01-2020,18.8,25.6,21.8,82,0.1,1.2,3,270,1,C 
13-01-2020,18.6,24,20.9,91,0,7.6,3,350,0,C 
14-01-2020,18,24.6,21.2,88,2.3,0.9,4,290,1,C 
15-01-2020,18.6,24,21.4,92,11,4.9,2,360,0,C 
16-01-2020,18.6,25.7,21.5,88,0.7,1,3,340,1,C 
17-01-2020,19,26.4,21.8,87,0.2,3.2,3,310,1,C 
18-01-2020,19.6,22.5,21.2,92,1,3.8,2,310,0,C 
19-01-2020,19.8,25.2,22,89,0,0.1,3,310,0,C 
20-01-2020,20,24.8,21.8,92,9.6,1.6,2,310,0,C 
21-01-2020,19.8,24.6,21.7,92,8.3,2.2,4,340,0,C 
22-01-2020,19.4,25.3,21.8,90,0,1.4,2,300,0,C 
23-01-2020,19.8,25,21.6,92,1.1,2.6,2,200,0,C 
24-01-2020,19.2,25.6,20.9,93,43.3,1.6,3,310,1,C 
25-01-2020,19.3,21.8,20.1,98,2.8,2.6,2,300,0,C 
26-01-2020,18.8,26.4,21.5,91,23.1,0,2,330,0,C 
27-01-2020,19.2,25.4,21.1,96,5.9,3.3,3,310,1,C 
28-01-2020,19,26.1,21.6,92,23.2,3,3,80,0,C 
29-01-2020,19.2,27.1,22.2,85,0,4,3,270,0,C 
30-01-2020,18.7,24.9,21.5,88,37.8,5.1,3,290,0,C 
31-01-2020,19.4,23.6,20.7,93,0,1.6,2,320,0,C 
01-02-2020,19.5,23.2,20.6,96,13.8,0.2,4,0,0,C 
02-02-2020,19,22.2,20.1,95,20.6,0,1,300,0,C 
03-02-2020,18,23.4,20.3,92,3.8,0,3,320,0,C 
04-02-2020,19,21.8,20.5,95,2.3,0.5,3,320,0,C 
05-02-2020,19.1,23.4,20.4,93,4.7,0,2,360,0,C 
06-02-2020,19.4,22,20.7,97,42.8,0.7,2,340,0,C 
07-02-2020,19.5,23.4,20.7,94,4.2,0,3,310,1,C 
08-02-2020,19.3,24.2,21,92,118.7,0.3,4,320,0,C 
09-02-2020,18.6,24.1,21.1,86,8,1.3,2,340,0,C 
10-02-2020,19.3,27.2,22.5,76,0.7,0.9,3,270,0,C 
11-02-2020,19.9,25.9,22.7,80,0,7.6,3,250,0,C 
12-02-2020,19.8,26.8,22.1,91,0,3.3,2,270,0,C 
13-02-2020,19.6,26.4,21.6,90,2,4.6,2,290,0,C 
14-02-2020,18.6,24.3,20.5,95,8.6,2,3,190,0,C 
15-02-2020,18.8,25.2,20.8,95,2.2,3,3,250,0,C 
16-02-2020,19.2,23.8,20.9,90,8.2,3.5,2,300,0,C 
17-02-2020,19,26.6,21.6,86,19.4,1.9,3,280,0,C 
18-02-2020,18.8,24.7,20.2,95,1.9,0.7,3,320,0,C 
19-02-2020,18.7,21.8,19.9,97,30.3,2.3,2,250,0,C 
20-02-2020,18.9,20.6,19.9,99,76.4,0.2,4,310,1,C 
21-02-2020,19.6,22,20.3,96,32.2,0,2,300,1,C 
22-02-2020,19.6,23.4,21.3,97,19.1,0,3,290,1,C 
23-02-2020,19.7,22.2,20.6,98,16.9,0.3,3,270,1,C 
24-02-2020,19.6,21.6,20.1,98,41.6,0,6,340,1,C 
25-02-2020,19.4,21,20,99,37.2,0,4,320,0,C 
26-02-2020,19.2,24.2,21.3,94,7.6,0,2,300,0,C 
27-02-2020,19.8,23.2,21.3,95,3.5,0.6,2,320,0,C 
28-02-2020,20.4,23.5,21.2,97,2.4,0.4,3,320,0,C 
29-02-2020,19.7,25.1,21.1,95,8,0,3,300,0,C 
01-03-2020,20,24.2,21.6,97,33.8,2.8,2,310,0,C 
02-03-2020,20.6,25.8,22.4,87,32.2,3.6,3,320,0,C 
03-03-2020,19.6,26.6,22.1,86,7.6,3.2,3,310,1,C 
04-03-2020,19.2,26.4,21.5,88,10.4,5.2,4,250,1,C 
05-03-2020,19.3,24.4,21.7,77,11.5,3.9,2,220,1,C 
06-03-2020,19.3,25.6,22,82,9.7,0,3,360,0,C 
07-03-2020,19.2,26.4,22,86,13.7,5.3,3,320,1,C 
08-03-2020,19.6,25.2,21.8,90,0,4,3,350,1,C 
09-03-2020,20,26.6,23,80,3.8,3.6,4,140,1,C 
10-03-2020,19.7,27.2,22.5,80,0,1,2,320,0,C 
11-03-2020,19.7,26.2,22.4,88,3.9,4.8,1,330,0,C 
12-03-2020,20.2,23.3,21.6,94,15.3,3.3,4,230,0,C 
13-03-2020,19.5,26,22.1,90,35.4,0,3,340,0,C 
14-03-2020,19.9,26.2,22.2,84,0,5.7,3,360,1,C 
15-03-2020,19.4,26.4,21.4,90,0.9,2.8,2,280,0,C 
16-03-2020,19.6,24.6,20.9,96,43.4,4.1,2,330,0,C 
17-03-2020,18.9,26.4,21.8,90,30.7,2,3,260,1,C 
18-03-2020,19.5,26.2,20.9,96,2,5.5,2,290,0,C 
19-03-2020,19.2,23.6,20.8,94,1.5,0.8,2,240,1,SW
20-03-2020,18.4,24.2,20.3,93,20.3,1,2,280,0,C 
21-03-2020,18.8,27.8,22.5,83,19.3,2.2,2,20,0,C 
22-03-2020,19.8,25.6,21.9,92,9.9,5.2,2,270,0,C 
23-03-2020,20,25.4,21.1,93,11.3,2.9,1,350,0,C 
24-03-2020,19,26.6,21.6,89,15.5,1,3,330,0,C 
25-03-2020,19.1,25.7,21.8,94,55.5,4.6,2,300,0,C 
26-03-2020,19.8,23.8,20.7,97,14.5,2.8,3,6,0,C 
27-03-2020,19.8,25.3,21.7,92,42.1,1.8,3,290,1,C 
28-03-2020,19.2,25.8,21.6,90,10.6,1.2,2,280,0,C 
29-03-2020,19.8,27,22.3,89,4.8,3.2,2,330,0,C 
30-03-2020,19.6,25.8,20.3,94,11.2,4.4,2,310,0,C 
31-03-2020,19.1,27.2,21.8,86,41,2.8,2,280,0,C 
01-04-2020,19.4,27,22.1,88,32,4.7,2,240,0,C 
02-04-2020,19.2,26.4,22.2,87,2.5,5.3,3,260,0,C 
03-04-2020,19.4,26.8,22.3,86,0.2,5.7,3,340,0,C 
04-04-2020,20,26,22.2,86,-,4,2,260,0,C 
05-04-2020,20.1,25.8,20.7,96,12.3,4,2,320,0,C 
06-04-2020,19,24.3,20.7,94,26.2,0.3,2,280,0,C 
07-04-2020,19.4,26.4,21.6,92,25.6,1.3,4,340,0,C 
08-04-2020,19.4,26.8,22.4,84,9.2,3.9,3,280,0,C 
09-04-2020,20.3,25.3,21.5,92,-,7.3,3,280,0,C 
10-04-2020,19.6,27,21.8,89,1.8,1.6,2,330,0,C 
11-04-2020,19.6,26.1,22.5,90,5.4,1.5,3,340,0,C 
12-04-2020,19.6,26.4,22.2,88,3.2,2.5,3,310,1,C 
13-04-2020,19,25.6,21.8,90,18,4.2,2,320,0,C 
14-04-2020,19.5,26.5,21.9,86,15.5,3.7,3,280,0,C 
15-04-2020,20,26.6,22.7,87,8888,4.5,3,280,1,C 
16-04-2020,20,26,22.5,89,2.4,4.5,3,310,0,C 
17-04-2020,19,26.4,21.8,86,-,3.1,2,330,0,C 
18-04-2020,18.7,25.8,21.3,88,26.2,3.8,3,270,0,C 
19-04-2020,19.3,27,22.6,88,36.9,3,2,360,0,C 
20-04-2020,19.8,26.7,22.5,87,18,5,3,310,0,C 
21-04-2020,20,23.2,21.8,94,0.5,3.7,2,280,0,C 
22-04-2020,19.4,27,22.9,84,4.5,0,3,270,0,C 
23-04-2020,19.8,29,23.6,81,8888,5.5,3,340,1,C 
24-04-2020,20.6,26,22.3,86,-,8.7,2,350,0,C 
25-04-2020,18.6,26,21.8,78,4.3,1.5,3,320,0,C 
26-04-2020,18.9,26.2,22.1,87,-,1.5,2,310,0,C 
27-04-2020,20,-,-,-,6.6,3.5,0,0,0,C 
28-04-2020,19.2,24.2,21.1,92,13.5,0.9,0,0,0,C 
29-04-2020,18.8,24.4,20.3,97,13.4,0.4,1,300,0,C 
30-04-2020,19.4,23.6,21.2,96,50,2.4,2,270,0,C 
01-05-2020,19.6,25,21.7,93,22.5,0,0,0,0,C 
02-05-2020,19.6,25,21.5,94,16.3,0.5,0,0,0,C 
03-05-2020,19,26.6,22.3,91,1.5,0,3,290,0,C 
04-05-2020,19.4,26.4,22.6,84,0,3.6,3,300,1,C 
05-05-2020,20,26.3,22.7,86,0,3,1,330,0,C 
06-05-2020,19.6,26,22.3,89,13.5,3.1,3,340,0,C 
07-05-2020,19.8,28.2,22.9,86,4.5,2.3,2,300,0,C 
08-05-2020,19.5,27.4,22.6,88,-,6.3,3,340,0,C 
09-05-2020,19,25,21.9,90,2.9,4.8,2,340,0,C 
10-05-2020,20,25.4,21.8,92,-,0,1,290,0,C 
11-05-2020,19.8,25.6,22.3,91,13.6,2.3,2,310,0,C 
12-05-2020,19.6,27.6,22.5,88,6.5,0.8,2,290,0,C 
13-05-2020,20.2,25.7,22.9,87,1,4.4,2,270,0,C 
14-05-2020,19.2,27,22.1,85,0.1,1.1,4,320,0,C 
15-05-2020,19,27.6,22.4,75,0.5,5.3,4,80,1,C 
16-05-2020,19,29,23,76,0,8.2,3,300,1,C 
17-05-2020,20,26.8,22.7,82,8888,7.8,2,340,0,C 
18-05-2020,20,24.6,20.9,94,15.2,4,2,230,0,C 
19-05-2020,19,27.4,22.2,84,43.5,0.4,2,310,0,C 
20-05-2020,19.2,27.8,21.5,92,13.6,4.1,4,270,1,C 
