TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2022,-,31.8,27,78,-,3.8,3,350,1,C 
02-01-2022,21.4,32,26.3,86,0,6.6,4,300,1,C 
03-01-2022,20.7,33.4,27.3,72,-,6.6,5,150,1,C 
04-01-2022,-,34.1,26.8,71,-,9.1,4,280,1,C 
05-01-2022,22.4,33.5,26.9,79,0,9.1,4,350,1,C 
06-01-2022,22.4,32.2,25.6,90,0,7.6,4,355,1,C 
07-01-2022,21.9,32.6,26,84,6.5,6,3,335,1,C 
08-01-2022,21.5,31.6,25.6,86,13.9,7,4,330,1,C 
09-01-2022,21.4,32.1,26.3,84,0,5.1,7,236,1,C 
10-01-2022,21.8,31.4,26,86,0,6.1,5,270,1,C 
11-01-2022,22.6,31,25.9,86,1,5.3,5,315,1,C 
12-01-2022,22,29.4,24.9,91,0.8,5.2,4,330,1,C 
13-01-2022,22,29.8,25.8,87,19,0.7,5,335,1,C 
14-01-2022,22.3,29.5,25.6,89,5.4,3.6,4,320,1,C 
15-01-2022,22.4,29.3,25.5,91,4.1,1.5,3,250,1,C 
16-01-2022,21.8,29.6,25.7,88,3.8,0.7,6,300,1,C 
17-01-2022,21.6,31.4,26.3,86,-,2,5,300,1,C 
18-01-2022,22.8,28.8,25.2,92,4.2,4.6,4,40,1,C 
19-01-2022,22.4,29.5,25.1,88,21.1,0,4,165,2,C 
20-01-2022,22.2,28.2,24.9,88,11,4.6,4,250,1,C 
21-01-2022,20.6,31.2,25.7,81,1.1,0,10,291,1,W 
22-01-2022,22.5,30.8,26.3,84,0.5,5.9,4,300,1,C 
23-01-2022,22.3,32.2,26.3,83,0.2,5.6,9,150,1,C 
24-01-2022,21.5,32.9,26.1,86,-,5.7,10,85,1,C 
25-01-2022,21.6,31.4,26.5,83,4.5,5.7,8,282,2,C 
26-01-2022,23.4,30.6,25.9,86,3.8,6.2,6,227,1,C 
27-01-2022,21.6,31,26.4,86,5.2,1,3,330,1,C 
28-01-2022,-,32,25.6,86,-,4.5,3,350,0,C 
29-01-2022,22.3,32.3,26.3,82,0.5,4.5,4,330,1,C 
30-01-2022,22.2,32.4,26.4,80,0,7.5,7,330,1,C 
31-01-2022,21.8,32.4,26.4,80,8888,6.4,6,205,1,C 
01-02-2022,22.4,33.4,26.3,83,1,6.3,7,310,1,C 
02-02-2022,23.2,29.8,26.5,86,8888,8.5,3,313,1,C 
03-02-2022,21.5,31.7,26.3,82,8888,1.5,5,340,2,C 
04-02-2022,23,-,26.3,86,0,7.7,5,224,1,C 
05-02-2022,21.8,28.4,25.5,87,15.8,3,7,270,2,C 
06-02-2022,22.6,29.4,25.9,86,7.2,0,4,250,1,C 
07-02-2022,22.5,29.3,25.3,90,13.6,1.3,3,200,0,C 
08-02-2022,22.4,28.4,24.7,96,-,1.1,2,360,0,C 
09-02-2022,21.4,30,25.3,86,4.8,0,5,250,1,C 
10-02-2022,22.8,29.6,25.8,79,0.6,2.9,9,270,2,NW
11-02-2022,20.6,33.6,25.9,79,-,0.3,4,250,2,C 
12-02-2022,24.2,30,26.7,82,-,7.7,4,340,0,C 
13-02-2022,22.3,28.9,25.7,87,0.2,0,2,270,0,C 
14-02-2022,21.6,30,25.8,84,0.3,0.3,2,90,1,C 
15-02-2022,22.2,33.4,26.8,80,1,0.3,6,284,1,C 
16-02-2022,21.9,32.1,25.6,83,0.2,3.8,4,170,1,C 
17-02-2022,21.8,31.5,25.8,88,13.6,5.6,7,315,1,C 
18-02-2022,22.3,29.8,25,90,3.7,6.4,11,60,1,C 
19-02-2022,21.1,31.4,25.9,86,31,0.2,3,360,1,C 
20-02-2022,22.9,30.2,25.7,88,8888,3.8,6,360,1,C 
21-02-2022,21.4,32,25.3,87,13,1.8,4,320,1,C 
22-02-2022,22.4,31.6,25.1,86,17.4,6,7,130,2,C 
23-02-2022,22.4,32,26.7,79,-,5.3,5,270,2,C 
24-02-2022,21,32.4,26.6,78,3.5,5.6,4,150,1,C 
25-02-2022,22,30.4,25.8,78,0.4,5.5,6,267,1,W 
26-02-2022,21.6,29.6,24.3,92,4.1,1.2,8,320,1,C 
27-02-2022,22.5,30.4,25.4,84,13.2,2.3,5,260,1,C 
28-02-2022,21.8,30.3,25.8,84,1.2,4,3,180,1,C 
01-03-2022,22.4,29,25.3,90,4.8,3.8,4,250,1,C 
02-03-2022,21.8,31.6,26.3,86,2,1.2,3,80,1,C 
03-03-2022,22.7,32.4,26.7,82,8888,6.4,4,220,1,C 
04-03-2022,22.4,31.6,26.9,83,0.8,5.5,3,90,1,C 
05-03-2022,22.4,32.3,24.7,86,-,1.2,10,300,1,C 
06-03-2022,22.2,31.7,25.7,87,4,2.7,8,282,1,C 
07-03-2022,22,30.1,26.4,82,2.7,2.1,3,350,1,NE
08-03-2022,22,32,26.9,82,8888,0.5,2,300,0,C 
09-03-2022,22.1,32.4,24.7,93,14.2,3.5,6,83,1,C 
10-03-2022,21.5,32.9,25.4,88,23.4,3.4,10,103,1,C 
11-03-2022,22.4,32.4,26,88,1.5,4.2,6,300,1,C 
12-03-2022,-,32,25.8,86,1.8,5.8,7,270,1,C 
13-03-2022,22.6,31.8,26.6,86,0.8,3.6,8,250,1,C 
14-03-2022,22.4,33.5,26.7,84,-,3,6,315,1,C 
15-03-2022,23,29.7,25.5,91,6,6.5,5,90,1,C 
16-03-2022,21.6,-,26.3,85,4.1,0,5,50,1,C 
17-03-2022,23,30.8,26.2,88,-,7.2,3,270,1,C 
18-03-2022,22.9,31.8,25.3,92,0,4.1,7,160,1,C 
19-03-2022,-,31.2,26.6,85,24,2.9,4,320,1,C 
20-03-2022,22.3,33.6,26.5,82,-,3.9,7,320,1,C 
21-03-2022,22.2,-,25,90,8888,6.3,3,120,1,C 
22-03-2022,21.8,-,26.7,81,11,2.6,4,310,1,C 
23-03-2022,21.5,31.6,25.3,87,-,7.2,5,250,1,C 
24-03-2022,20.9,-,26.7,80,6.4,2.5,3,310,1,C 
25-03-2022,21.8,32.6,-,-,0,6.4,3,180,0,C 
26-03-2022,23.3,30,24.7,93,-,5.8,6,270,1,C 
27-03-2022,21.6,32.8,26.1,83,2.8,3.8,7,269,1,C 
28-03-2022,21.4,32.4,26.6,82,1.8,6.3,5,310,1,C 
29-03-2022,20.9,32.4,26.9,76,-,7,3,265,1,C 
30-03-2022,21.6,32.9,27.2,79,-,3.3,3,250,1,C 
31-03-2022,22.6,33.5,26.7,77,0,7.2,5,320,1,C 
01-04-2022,22.2,31,26.4,82,1,7.3,3,320,0,C 
02-04-2022,23.5,33.8,27.4,78,0,1,4,315,1,C 
03-04-2022,23.1,32.3,24.7,91,-,7.5,4,270,1,C 
04-04-2022,22.4,33.5,26.8,81,4.4,4.4,6,268,1,C 
05-04-2022,22.6,32.5,26.1,84,0,9,5,120,1,C 
06-04-2022,21.2,33.4,25.8,84,8.5,5.1,3,330,1,C 
07-04-2022,21.6,33,26.6,83,12,7.8,3,180,1,C 
08-04-2022,-,32.9,26.6,80,-,8,8,102,1,C 
09-04-2022,22,32.7,26.2,84,6,5,7,240,1,C 
10-04-2022,22.4,32.8,26.3,84,0.7,5,3,110,1,C 
11-04-2022,23.4,32.6,26.7,86,4,5.1,2,230,0,C 
12-04-2022,22.8,31.8,26.3,86,4.8,3.8,3,320,1,C 
13-04-2022,22.2,32.6,26,86,0.3,3.8,4,350,1,C 
14-04-2022,-,32.9,26.7,85,86.3,6.8,12,175,1,C 
15-04-2022,21.6,33.4,26,86,39.2,6.5,4,340,1,C 
16-04-2022,22.8,33,26.6,83,22.5,8.3,4,227,1,C 
17-04-2022,22.2,32.8,27.2,83,0.3,6.5,3,40,1,C 
18-04-2022,24.3,33,27.4,86,-,8.2,7,315,2,C 
19-04-2022,21.5,32,25.7,87,51.3,5.1,8,190,1,C 
20-04-2022,22.2,32,26.5,84,0.5,6.4,3,290,1,C 
21-04-2022,23.4,29,25.7,88,-,5.3,2,310,0,C 
22-04-2022,-,28.8,24.1,94,2,-,2,10,0,C 
23-04-2022,21.8,32.5,26.5,86,9,0.9,4,60,1,C 
24-04-2022,23,33.3,27.6,82,0.7,6.5,3,330,1,C 
25-04-2022,22.4,34.1,26.7,85,0,7.8,4,90,1,C 
26-04-2022,22.8,33.2,27.1,83,26.5,8.9,4,320,1,C 
27-04-2022,-,32,25.7,88,-,7.2,6,315,1,C 
28-04-2022,20.7,31.4,26.5,85,36.6,4.2,4,320,1,C 
29-04-2022,23,31.8,27.1,84,8888,2.2,4,340,1,C 
30-04-2022,22.4,30.5,26.2,88,0,2.2,3,190,0,C 
01-05-2022,22.8,32,26.2,89,8888,1.6,2,340,0,C 
02-05-2022,22.3,31.5,25.5,91,8.2,2.5,2,300,0,C 
03-05-2022,21,33.1,26.4,83,19.3,4.9,6,40,1,C 
04-05-2022,23.3,32.4,25.8,88,-,6.8,8,90,2,C 
05-05-2022,21.4,33.1,26.9,83,25.2,6.1,3,80,1,C 
06-05-2022,23,33.4,28,81,1,8.8,4,90,1,C 
07-05-2022,-,33.1,27.1,85,-,8.2,3,240,0,C 
08-05-2022,23.2,34.7,28.2,78,-,7.4,3,315,1,C 
09-05-2022,24.2,32.8,26.9,86,-,9.5,4,160,1,C 
10-05-2022,22.8,32.6,28.1,80,6.1,4.7,3,340,1,C 
11-05-2022,23.4,32.4,27.6,87,3,7.6,4,150,1,C 
12-05-2022,23.8,32.7,27.6,78,8888,5.2,5,200,2,W 
13-05-2022,23.7,33.7,28.2,79,8888,3.5,4,290,1,C 
14-05-2022,23,33,27.6,84,-,8.9,3,330,0,C 
15-05-2022,23,33.4,26.8,84,5.9,4.7,5,180,1,C 
16-05-2022,23.2,34,26.8,85,8888,6.2,4,330,1,C 
17-05-2022,23.4,32.8,26.7,86,10,6,3,360,1,C 
18-05-2022,22.5,32.3,25.5,92,34.5,6.5,5,180,1,C 
19-05-2022,22.5,32.4,26.2,88,12.6,4.7,3,280,1,C 
20-05-2022,22.3,32.2,25.6,88,0.5,5.6,4,360,0,C 
21-05-2022,22.4,32.6,25.6,86,31.9,6.6,4,270,1,C 
22-05-2022,22.6,30.1,25.8,87,2.7,2.7,3,360,1,C 
23-05-2022,22.7,32.2,27.1,82,-,4.1,8,40,2,C 
24-05-2022,21.9,31.6,26.7,79,-,9.3,5,50,1,C 
25-05-2022,22,32.4,26.2,85,-,6.2,4,30,1,C 
26-05-2022,22.8,29.8,25.8,87,8888,0,3,70,0,C 
27-05-2022,21.1,33,26.8,78,-,0.3,3,360,1,C 
28-05-2022,-,-,24.3,92,48.5,8.5,3,135,0,C 
29-05-2022,-,30.7,25.7,84,12.6,0,6,300,1,C 
30-05-2022,21.6,28.7,24.9,89,8888,3.7,3,180,1,C 
31-05-2022,21.4,31.3,25.2,88,4.5,0.5,4,320,0,C 
01-06-2022,21.1,32.6,26,83,0.8,2,3,160,1,C 
02-06-2022,22.7,32.2,26.2,88,8888,8.2,5,40,1,C 
03-06-2022,21.6,32.3,25.9,87,25.4,6,5,60,1,C 
04-06-2022,21.4,33,26.3,84,3.8,6.4,3,150,1,C 
05-06-2022,22,32.4,25.4,87,41.3,7.1,3,40,1,C 
06-06-2022,21.3,30.7,24.4,90,26,6.7,4,350,1,C 
07-06-2022,20.5,31.6,25.4,85,71.4,3.5,7,50,1,C 
08-06-2022,22.5,31.8,26.1,87,8888,6.3,4,50,1,C 
09-06-2022,22,30.6,24.2,92,0,5.6,5,270,1,C 
10-06-2022,20.6,33,26.1,84,130.4,3.6,5,270,1,C 
